叶型库11-PCA10维优化结果0.0249    叶型库11-KPCA10维优化结果0.0228
7.521710119759140133e-03    2.229534380688974471e-02
-4.911351171253250294e-04    4.767796823408657590e-03
7.457759452329806860e-03    2.224124927785403952e-02
-3.591764214650895585e-04    4.874591669028968677e-03
7.454143110817755893e-03    2.223284001694019602e-02
-2.253075897311661389e-04    4.980254233450999782e-03
7.476633347798045462e-03    2.224454720305454880e-02
-8.882371263529119116e-05    5.086573780333373054e-03
7.513821008594238557e-03    2.226783563109631728e-02
3.703817598855498050e-05    5.184045546664300605e-03
7.558035974831246381e-03    2.229725058754740419e-02
1.486867983753122372e-04    5.270166441205484213e-03
7.659008555913197555e-03    2.237122977625668335e-02
3.734004978510634034e-04    5.437886123359387223e-03
8.082525883902387173e-03    2.269185192513938076e-02
1.215563606021945534e-03    6.060146913326253798e-03
8.623990101192555852e-03    2.309588772749452887e-02
2.097106795786824081e-03    6.707689893904304930e-03
9.240717606049461338e-03    2.355333218113443011e-02
2.961023957847334995e-03    7.350444475473859318e-03
9.940976648993810755e-03    2.406981298506854702e-02
3.842668792880023394e-03    8.008789285118453685e-03
1.071998758774833985e-02    2.464293331031017567e-02
4.755467942950257140e-03    8.690434625041969924e-03
1.157349552356261302e-02    2.527068416723086963e-02
5.710502719835572338e-03    9.401368879194904604e-03
1.249799056359661431e-02    2.595123853452899892e-02
6.714909474494067110e-03    1.014524369759632443e-02
1.349106498197902987e-02    2.668301216278284871e-02
7.771553390323876140e-03    1.092333760417886664e-02
1.455771638395686636e-02    2.745702324536522521e-02
8.882745685962598406e-03    1.172848117905522444e-02
1.569426199811998351e-02    2.825824818655543053e-02
1.003316879033700273e-02    1.254303598592856027e-02
1.686986912672495259e-02    2.919877509570523860e-02
1.118670396335621521e-02    1.342344684894221721e-02
1.811889161993712749e-02    3.021931323198878000e-02
1.235084588059864180e-02    1.432719486868169398e-02
1.939385068228173525e-02    3.125333878897990081e-02
1.349815735025960278e-02    1.521560646956835253e-02
2.072949261773605889e-02    3.235853023612965396e-02
1.464779665900498365e-02    1.612183698762619313e-02
2.211152122964269578e-02    3.351037351851565704e-02
1.578641660958445339e-02    1.702762575974799131e-02
2.354630340705883909e-02    3.471941849143200809e-02
1.691562879348359333e-02    1.793816053290753221e-02
2.504267820035214337e-02    3.597162519492008714e-02
1.803939872638726447e-02    1.884424273987949164e-02
2.658056655210817160e-02    3.729175999334936875e-02
1.914442261416186494e-02    1.975909030443067857e-02
2.820899426686260952e-02    3.861142796033589786e-02
2.026514540621841137e-02    2.064735422086906927e-02
2.984727643338500394e-02    4.003877520421636471e-02
2.134440544685537594e-02    2.156217901141413776e-02
3.156384317174878301e-02    4.158946108299663158e-02
2.243880165843079380e-02    2.251944336037449770e-02
3.329777211475315468e-02    4.312513598320251440e-02
2.349306549582905190e-02    2.343257169373668888e-02
3.512703193221990150e-02    4.479920055016886615e-02
2.456555471292037537e-02    2.438918003731989359e-02
3.695042967478808643e-02    4.643881690974964449e-02
2.559553555823413859e-02    2.529595179951229025e-02
3.882891306159404199e-02    4.811310028044681747e-02
2.662023319924943301e-02    2.618878262680175706e-02
4.035946723817530196e-02    4.958047510843256733e-02
2.740251115133128523e-02    2.691336187790618548e-02
4.190377448037446023e-02    5.096366892824800987e-02
2.817142109102963379e-02    2.756709407719612828e-02
4.356059727531289699e-02    5.255056008443380333e-02
2.897312999582134230e-02    2.830123982034702876e-02
4.537983843723400468e-02    5.427810491954702943e-02
2.983060706576521476e-02    2.907766821732067283e-02
4.741350252880189436e-02    5.625013709454365629e-02
3.077281830923435726e-02    2.994326342455532960e-02
