叶型库8-PCA5维优化结果    叶型库8-KPCA5维优化结果
0.000000000000000000e+00    0.000000000000000000e+00
0.000000000000000000e+00    0.000000000000000000e+00
-8.167973900115592552e-05    -8.073806978568493322e-05
2.239699401870836465e-04    2.211406624464433087e-04
-4.969803732286066054e-05    -5.477959171018503224e-05
4.474391319054735194e-04    4.174500526595247268e-04
2.894328584328786577e-05    1.528467100104309080e-05
6.717217942634433336e-04    6.058804118947429696e-04
1.269388300628201786e-04    1.043399227360900699e-04
8.741543893891843414e-04    7.720924714133198859e-04
2.285556001598414979e-04    1.976591183911108383e-04
1.048740878935255569e-03    9.137012140869562237e-04
4.704630757274151816e-04    4.221057168885532793e-04
1.405071015403309628e-03    1.201873312956040210e-03
1.456921361548486156e-03    1.356832458369332814e-03
2.735899343944202949e-03    2.335024638497619140e-03
2.496647529090088857e-03    2.369846854895346459e-03
3.983838921168044583e-03    3.486883324310410207e-03
3.601210963708702771e-03    3.467562601142960485e-03
5.174037767332304721e-03    4.659634264003629893e-03
4.786227957058645545e-03    4.658751467336076993e-03
6.341145225698605059e-03    5.859150674298207150e-03
6.067291767667124143e-03    5.951979659823446352e-03
7.520940926450957881e-03    7.092956045642652939e-03
7.456900374359072201e-03    7.353695318198039468e-03
8.743847438536806599e-03    8.368325851971633242e-03
8.962810157128959024e-03    8.867276467001559276e-03
1.003093203151275703e-02    9.690719869952593019e-03
1.058764304812485034e-02    1.049287240385530368e-02
1.139243491810083830e-02    1.106271640422994834e-02
1.232948275107783459e-02    1.222786526715442801e-02
1.282831326986448237e-02    1.248345465396558801e-02
1.418310226906032388e-02    1.406772413956207737e-02
1.433011771994926326e-02    1.394856648140459232e-02
1.614126728898133620e-02    1.600682647223800048e-02
1.588351250905504011e-02    1.545053950242560384e-02
1.819611476510694936e-02    1.803934984973473710e-02
1.747084533725566310e-02    1.697937809971438936e-02
2.034006687700530905e-02    2.015976307731585579e-02
1.907342562871312819e-02    1.852348444966448598e-02
2.256657650082835240e-02    2.236324393857063580e-02
2.067329455552927020e-02    2.007060968747901783e-02
2.487039328026450363e-02    2.464572582654791719e-02
2.225446299626603411e-02    2.160878375282746303e-02
2.724771404185871368e-02    2.700392545875025460e-02
2.380362390860641872e-02    2.312709395310895422e-02
2.969607852670673800e-02    2.943520668346248648e-02
2.531043347419889913e-02    2.461625139923453304e-02
3.221412104608590427e-02    3.193737866738814019e-02
2.676745453595929733e-02    2.606890493110170307e-02
3.480129582401673277e-02    3.450853601737619014e-02
2.816986174413813396e-02    2.747970268563069279e-02
3.745756945850690217e-02    3.714692134243068738e-02
2.951501214315892588e-02    2.884514679728740136e-02
4.018297449879727756e-02    3.985069608677829778e-02
3.080201773340536867e-02    3.016334750509857068e-02
4.297735324366239867e-02    4.261792328254120771e-02
3.203134292524691118e-02    3.143370019765821116e-02
4.583989201626269272e-02    4.544634514943802356e-02
3.320458112241705950e-02    3.265665086103372583e-02
4.876893033622734658e-02    4.833340592434441640e-02
3.432432139113195113e-02    3.383349124945522063e-02
5.176171319983722402e-02    5.127616474237739475e-02
3.539413024051689394e-02    3.496624677576043450e-02
5.412370129209610747e-02    5.359418051811603440e-02
3.619257145008615562e-02    3.581634839934682429e-02
5.640405179707867062e-02    5.582903375306993293e-02
3.692776192117643019e-02    3.660202607775665806e-02
5.897072611617421717e-02    5.834190710673772817e-02
3.771308517863185272e-02    3.744372385499316475e-02
6.180166821836428209e-02    6.111174765156433819e-02
3.853281021898714853e-02    3.832361448821171995e-02
6.487350435616304201e-02    6.411708107451551120e-02
3.937605350629481971e-02    3.922797284686316277e-02
6.816168921725289376e-02    6.733605994390995386e-02
4.023590822960017299e-02    4.014647542862601753e-02
7.164103055397638697e-02    7.074666012770455814e-02
4.110789851754677315e-02    4.107103641760596890e-02
7.528653547497696219e-02    7.432700833969459187e-02
4.198788067487881082e-02    4.199426556153325329e-02
7.907430473497360779e-02    7.805569235318703114e-02
4.286987040875316068e-02    4.290790360830840089e-02
8.298224160738634780e-02    8.191199724855303954e-02
4.374441566686193550e-02    4.380166630491327123e-02
8.699037302767619051e-02    8.587604059513796739e-02
4.459820062139023544e-02    4.466298857643155595e-02
9.108056722344667899e-02    8.992868810521394141e-02
4.541523756318839589e-02    4.547791638340554360e-02
9.523576217986555459e-02    9.405132564145440854e-02
4.617947785890252899e-02    4.623302243442956733e-02
9.943891955604315658e-02    9.822552825887181926e-02
4.687807301400875870e-02    4.691778753214818909e-02
1.036721180921199997e-01    1.024327852174953535e-01
4.750418323498387108e-02    4.752665138590567162e-02
1.079161130553128733e-01    1.066543705344981108e-01
4.805831601500286376e-02    4.806000335758081610e-02
1.121505463082110299e-01    1.108714275070057653e-01
4.854768782002891192e-02    4.852374738864129178e-02
1.163547190101141271e-01    1.150652154924938358e-01
4.898380445399296013e-02    4.892757980060191692e-02
1.205087506467348024e-01    1.192175450215761656e-01
4.937909522955043207e-02    4.928256988878941536e-02
1.245945611569875544e-01    1.233110711604639559e-01
4.974367396983794820e-02    4.959879227034283411e-02
1.285966259527496769e-01    1.273296310633652006e-01
5.008310482610554837e-02    4.988359250541225115e-02
1.325020980759179512e-01    1.312583288193020781e-01
5.039761957952058891e-02    5.014077581443162485e-02
1.363005607155671206e-01    1.350836080506070680e-01
5.068265261119521414e-02    5.037058587231073303e-02
1.399833427553775489e-01    1.387931512458690231e-01
5.093026053840643552e-02    5.057019983830455395e-02
1.435428237982639410e-01    1.423758461617486981e-01
5.113083579277147295e-02    5.073438864993148889e-02
1.469717171381614840e-01    1.458216572617466733e-01
5.127472825422677016e-02    5.085622217497004494e-02
1.502626236204162025e-01    1.491215680948480282e-01
5.135358874272195895e-02    5.092784976650888834e-02
1.534077340376320264e-01    1.522674334713881306e-01
5.136146820129183777e-02    5.094152503980226010e-02
1.563988283178014693e-01    1.552518587057185595e-01
5.129576828440660097e-02    5.089098342552677429e-02
1.592273390443988967e-01    1.580679585306734303e-01
5.115806593893353071e-02    5.077309461584330469e-02
1.610184007545740204e-01    1.598485962312052866e-01
5.102919802717501008e-02    5.065765995469825173e-02
1.618845876995777255e-01    1.607091670828129648e-01
5.095472281284237070e-02    5.058949789163252192e-02
1.627308070517237693e-01    1.615496045726740326e-01
5.087417455686767120e-02    5.051482305605171225e-02
1.635567468707680716e-01    1.623696679983231972e-01
5.078808987846263057e-02    5.043406922205803666e-02
1.643621145956658258e-01    1.631691307560395876e-01
5.069706202945842288e-02    5.034774982341060079e-02
1.651466307076738249e-01    1.639477701527982112e-01
5.060172883623492712e-02    5.025644683093351273e-02
1.659100180128123825e-01    1.647053622421887631e-01
5.050277107611171601e-02    5.016080881291686000e-02
1.666520214745188244e-01    1.654416931384574407e-01
5.040090560630930416e-02    5.006154447570179689e-02
1.673723910247660041e-01    1.661565514447596592e-01
